Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000578012899338981,-5.76886259213473E-05,0.00404450006592417,0,0,0,1.3358226176773,0.00190552721506142,1.91669381795459E-06,-3.32116956807429E-07,0.00545876549540028,7.79525650451223E-07,0.00658881762188295,0,0,0,0,0,0,package://reddog/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/base_link.STL,,baselink.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_Link,0.0355876305419231,-0.0104296900266601,-1.28359382309594E-06,0,0,0,0.132446721586209,3.50236308121249E-05,-2.4107316093572E-06,-2.72964151455633E-08,5.77131471303245E-05,-5.34890605521754E-10,3.96320545382118E-05,0,0,0,0,0,0,package://reddog/meshes/fr_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/fr_Link.STL,,fr.step-1,Origin_fr,Axis_fr,fr,continuous,0.127999974999998,-0.055,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
fru_Link,-9.34411536282209E-05,-0.0198917871699333,-0.105759917113341,0,0,0,0.174525955063279,0.000214183984424102,-3.58969131681976E-10,-6.53208522123267E-07,0.000243702006324231,2.5471263408363E-06,4.57032533913158E-05,0,0,0,0,0,0,package://reddog/meshes/fru_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/fru_Link.STL,,fru.step-1,Origin_fru,Axis_fru,fru,continuous,0.0385000250000002,-0.0374999999999999,0,0,0,0,fr_Link,0,1,0,,,,,,,,,,,,
frd_Link,-7.68623410247193E-05,-0.0154786350205487,-0.0630806266148956,0,0,0,0.0566299288837794,8.06539647292479E-05,8.89027827534754E-09,4.33772343767103E-07,8.90304825631317E-05,2.23016160815163E-06,1.11792618419911E-05,0,0,0,0,0,0,package://reddog/meshes/frd_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/frd_Link.STL,,frd.step-1,Origin_frd,Axis_frd,frd,continuous,0,-0.0351874453282875,-0.129999999999999,0,0,0,fru_Link,0,1,0,,,,,,,,,,,,
fl_Link,0.0355876629183299,0.0104297571972717,-1.25143905561245E-06,0,0,0,0.132446586991546,3.50241303707904E-05,2.41070757356185E-06,-2.75192841427333E-08,5.77132621963568E-05,4.42180237441724E-10,3.96315319981323E-05,0,0,0,0,0,0,package://reddog/meshes/fl_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/fl_Link.STL,,fl.step-1,Origin_fl,Axis_fl,fl,continuous,0.127999974999998,0.055,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
flu_Link,-9.3223541831805E-05,0.0198920926850816,-0.10575831822033,0,0,0,0.17452137811116,0.000214166517070909,1.96442857228742E-10,-6.51577443913158E-07,0.00024367694391992,-2.54820003204135E-06,4.56954591201466E-05,0,0,0,0,0,0,package://reddog/meshes/flu_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/flu_Link.STL,,flu.step-1,Origin_flu,Axis_flu,flu,continuous,0.038500025,0.0375,0,0,0,0,fl_Link,0,1,0,,,,,,,,,,,,
fld_Link,-7.59919470587622E-05,0.0154787832991466,-0.0630821404856973,0,0,0,0.0566283753136149,8.06531482231623E-05,-9.11086122330002E-09,4.32031700398546E-07,8.9021371983876E-05,-2.23075292384989E-06,1.11708664182877E-05,0,0,0,0,0,0,package://reddog/meshes/fld_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/fld_Link.STL,,fld.step-1,Origin_fld,Axis_fld,fld,continuous,0,0.0351874453282872,-0.13,0,0,0,flu_Link,0,1,0,,,,,,,,,,,,
bl_Link,-0.0355876622177669,0.0104297571972571,1.24905254687636E-06,0,0,0,0.132446586991532,3.50241500316982E-05,-2.41070827468447E-06,-2.71353907145575E-08,5.77132621963516E-05,-4.40922685376072E-10,3.96315123372198E-05,0,0,0,0,0,0,package://reddog/meshes/bl_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/bl_Link.STL,,bl.step-1,Origin_bl,Axis_bl,bl,continuous,-0.127999975000005,0.055000000000013,0,0,0,0,base_link,1,0,0,,,,,,,,,,,,
blu_Link,-9.3221066856386E-05,0.0198920922161247,-0.105758317112316,0,0,0,0.174521375093361,0.000214166517159187,1.94650786602411E-10,-6.51577588750067E-07,0.000243676944316243,-2.54820102545396E-06,4.5695459421665E-05,0,0,0,0,0,0,package://reddog/meshes/blu_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/blu_Link.STL,,blu.step-1,Origin_blu,Axis_blu,blu,continuous,-0.038500024999994,0.0374999999999811,0,0,0,0,bl_Link,0,1,0,,,,,,,,,,,,
bld_Link,-7.59919470523784E-05,0.0154787832991466,-0.0630821404857018,0,0,0,0.0566283753136148,8.06531482231611E-05,-9.11086122296496E-09,4.32031700400174E-07,8.90213719838744E-05,-2.23075292385534E-06,1.11708664182881E-05,0,0,0,0,0,0,package://reddog/meshes/bld_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://reddog/meshes/bld_Link.STL,,bld.step-1,Origin_bld,Axis_bld,bld,continuous,0,0.0351874453282818,-0.130000000000005,0,0,0,blu_Link,0,1,0,,,,,,,,,,,,
